"","year","0.025","0.5","0.975"
"1",1978,3741.15794194267,5772.93324642498,9014.06081779499
"2",1987,5483.96894959064,8239.44160537154,11385.5938901695
"3",1988,7270.79467638758,11455.758949401,15296.347592856
"4",1989,7198.10127839238,11037.9064292471,14850.5723383752
"5",1990,6948.40413717066,9889.27042140907,13499.6134096234
"6",1991,4768.28661598116,6543.33413354721,9836.13440150198
"7",1992,5464.59465102713,7535.95524827183,10270.1189295155
"8",1993,4396.97709833055,6475.7952477035,8691.98015924369
"9",1994,3807.61497860949,5926.29571394017,7918.02810121217
"10",1995,3824.12074146609,6290.01894777354,8402.14481961596
"11",1996,2914.73754854208,5508.42945077626,9932.09503598147
"12",1979,1896.75285830072,2958.35439948813,4534.58650129569
"13",1997,2240.14242424574,5402.70921975127,10644.9258225236
"14",1998,4968.9605476965,7332.67581295135,10100.3650226286
"15",1999,4074.55116744899,6570.71476075344,8866.35139384318
"16",2000,2950.01749561049,4044.18437056126,5820.4362020807
"17",2001,3506.95492233445,4760.54213238674,6785.7976617062
"18",2002,4064.10131973012,5538.25695256503,7788.93462261478
"19",2003,4795.47246306185,6714.08099060339,9180.0798341591
"20",2004,4722.34464260205,6887.87752256673,9202.47376616543
"21",2005,4261.64223211215,6117.00083846082,8234.15243877609
"22",2006,4332.95707223028,6262.26885784662,8288.83052345015
"23",1980,3171.7282534826,5123.60912280882,7801.66198643458
"24",2007,2978.0742104072,4187.37180409044,5722.52434786829
"25",2008,2526.71304876089,3921.11902195342,5228.35708926757
"26",2009,2232.23280211416,2972.90911233594,4365.54087025638
"27",2010,3359.02968928946,4450.65897450103,6465.78993437712
"28",2011,4046.59584699122,5490.96934662669,7557.15981648319
"29",2012,4483.04380013058,6183.02861771416,8338.30687423343
"30",2013,4691.6932766114,7115.76532038185,9428.80151189073
"31",2014,5512.65224223575,8188.93462312599,10722.6172507818
"32",2015,5685.67097963931,8213.93289393917,10920.6119543131
"33",2016,5644.91990603678,7809.79956060005,10411.7403613029
"34",1981,2906.95551005505,4420.54623036838,7123.741717597
"35",2017,4329.452737776,6136.23306736828,8236.56880196685
"36",2018,3750.13214406866,5464.35199683094,7162.00130518743
"37",2019,2899.00989729144,4156.12527315971,5571.99178177509
"38",2020,2741.56069841296,3701.35114572818,5634.85269558015
"39",2021,2709.19963409235,3652.67924906968,5335.49110884425
"40",2022,3190.89201548042,4889.55986711374,6667.52233674032
"41",2023,2776.29121207709,5211.03064545323,9873.82081960924
"42",1982,5078.76393720393,8632.97423771791,12465.7607940109
"43",1983,5060.45166647878,7596.24319771102,10752.9488846269
"44",1984,5949.64750805186,8659.52562795825,12062.6113602678
"45",1985,5497.69887927403,8226.73542688462,11182.2746599205
"46",1986,6770.17404779029,10243.8302111103,13929.2078795865
